Brand,Model,Availability,Availability_Status,Range(in_mile),Efficiency(Wh/mile),Weight_in_Kg,t_0_60_mph,Battery_Capacity(kWh),Seating_Capacity,Boot Space(in_Litres),Price_Per_Range(in_£),Model Price(in_£)
BYD,SEALION 7 82.5 kWh AWD Design,Available,to order since February 2025,250,330.0,2415.0,4.5,82.5,5,578.0,208.0,51990
Kia,EV4 Sedan Long Range,Available,to order from August 2025,305,256.0,1900.0,7.7,78.0,5,490.0,138.0,42000
Tesla,Model 3 Long Range AWD,Discontinued,(July 2019 - October 2020),285,258.0,1931.0,4.6,73.5,5,542.0,165.0,46990
Polestar,2 Long Range Dual Motor (MY24),Discontinued,(January 2023 - September 2024),280,282.0,2183.0,4.5,79.0,5,446.0,189.0,52950
Hyundai,IONIQ 5 N (MY24),Available,to order since November 2023,240,333.0,2225.0,3.4,80.0,5,480.0,271.0,65000
Ford,Explorer Standard Range RWD,Available,to order since February 2025,190,274.0,1908.0,8.7,52.0,5,536.0,210.0,39875
Vauxhall,Grandland 73 kWh,Available,to order since October 2024,225,324.0,2207.0,9.0,73.0,5,550.0,166.0,37355
Volkswagen,ID.7 Tourer GTX,Available,to order since August 2024,310,277.0,2339.0,5.5,86.0,5,605.0,202.0,62670
Lexus,UX 300e,Discontinued,(March 2021 - April 2023),145,310.0,1860.0,7.5,45.0,5,316.0,240.0,34770
Hyundai,IONIQ 6 Long Range AWD,Available,to order since November 2022,275,269.0,2095.0,5.1,74.0,5,416.0,184.0,50540
MG,ZS EV Standard Range,Available,to order since February 2022,165,297.0,1645.0,8.6,49.0,5,448.0,185.0,30495
Smart,#1 Brabus,Available,to order since September 2023,200,310.0,1975.0,3.9,62.0,5,328.0,225.0,44960
Audi,Q4 e-tron 55 quattro,Available,to order since January 2024,245,314.0,2235.0,5.4,77.0,5,520.0,235.0,57690
Skoda,Enyaq 85x,Discontinued,(October 2023 - January 2025),270,285.0,2222.0,6.6,77.0,5,585.0,180.0,48605
Jaguar,I-Pace EV400,Discontinued,(March 2018 - July 2020),235,360.0,2208.0,4.8,84.7,5,505.0,274.0,64495
Porsche,Taycan 4S,Discontinued,(May 2020 - January 2023),245,290.0,2215.0,4.0,71.0,5,491.0,353.0,86500
Tesla,Model 3 Performance,Discontinued,(April 2022 - October 2023),285,263.0,1919.0,3.4,75.0,5,649.0,203.0,57990
Lexus,RZ 450e,Available,to order since May 2023,215,298.0,2130.0,5.6,64.0,5,522.0,259.0,55595
Skoda,Enyaq 85x,Available,to order since January 2025,280,275.0,2230.0,6.7,77.0,5,585.0,174.0,48760
Audi,A6 Avant e-tron,Available,to order since September 2024,290,261.0,2185.0,6.0,75.8,5,529.0,222.0,64340
Volkswagen,ID. Buzz Pro,Discontinued,(September 2022 - July 2024),210,367.0,2459.0,10.2,77.0,5,1121.0,281.0,59035
Peugeot,e-2008 54 kWh,Available,to order since July 2023,185,275.0,1623.0,9.1,50.8,5,434.0,202.0,37300
Dacia,Spring Electric 65,Available,to order since September 2024,100,250.0,1032.0,13.7,25.0,4,343.0,160.0,15995
Mercedes-Benz,B 250e,Discontinued,(January 2015 - October 2017),90,311.0,1725.0,7.9,28.0,5,501.0,321.0,28875
Vauxhall,Corsa-e,Discontinued,(April 2020 - December 2021),175,265.0,1530.0,8.1,46.3,5,309.0,155.0,27140
CUPRA,Born 77 kWh e-Boost,Available,to order since July 2024,285,270.0,1969.0,7.0,77.0,5,385.0,147.0,41795
Porsche,Taycan,Discontinued,(April 2021 - January 2023),255,278.0,2125.0,5.4,71.0,5,491.0,296.0,75500
Hyundai,IONIQ 5 84 kWh AWD (MY24),Available,to order since July 2024,275,291.0,2165.0,5.3,80.0,5,544.0,185.0,50900
MG,MGS5 EV Standard Range,Available,to order since March 2025,170,277.0,1710.0,8.0,47.1,5,453.0,168.0,28495
CUPRA,Born 77 kWh e-Boost,Discontinued,(April 2022 - July 2024),280,275.0,1946.0,7.0,77.0,4,385.0,142.0,39625
Honda,e,Discontinued,(September 2020 - June 2022),105,271.0,1588.0,9.0,28.5,4,171.0,327.0,34365
Kia,e-Niro 64 kWh,Discontinued,(July 2020 - December 2020),230,278.0,1812.0,7.8,64.0,5,451.0,147.0,33850
Volkswagen,ID.3 Pro,Discontinued,(August 2021 - February 2022),215,270.0,1812.0,9.6,58.0,5,385.0,143.0,30700
Mercedes-Benz,EQA 350 4MATIC,Available,to order since December 2023,215,309.0,2110.0,6.0,66.5,5,340.0,254.0,54510
Kia,EV6 GT,Available,to order since June 2025,240,333.0,2220.0,3.5,80.0,5,500.0,250.0,59985
Nissan,e-NV200 Combi,Discontinued,(June 2018 - December 2021),105,352.0,1667.0,14.0,37.0,7,2000.0,312.0,32755
Smart,EQ forfour,Discontinued,(January 2020 - May 2022),55,304.0,1200.0,12.7,16.7,4,185.0,405.0,22295
Kia,EV9 99.8 kWh AWD GT,Available,to order since June 2025,260,369.0,2648.0,4.6,96.0,7,385.0,316.0,82185
Volkswagen,ID.4 Pure,Discontinued,(June 2021 - November 2023),175,297.0,1966.0,10.9,52.0,5,543.0,222.0,38845
Polestar,3 Long Range Dual motor,Available,to order since November 2022,320,334.0,2660.0,5.0,107.0,5,516.0,237.0,75900
Kia,EV9 99.8 kWh RWD,Available,to order since September 2023,280,343.0,2501.0,9.4,96.0,7,423.0,232.0,65035
Peugeot,e-3008 73 kWh Dual Motor,Available,to order from July 2025,230,317.0,2199.0,6.4,73.0,5,588.0,204.0,47000
Smart,#1 Pro+,Available,to order since September 2023,205,302.0,1863.0,6.7,62.0,5,338.0,180.0,36960
BMW,i7 xDrive60,Available,to order since November 2022,315,323.0,2715.0,4.7,101.7,5,500.0,362.0,113970
BMW,iX2 eDrive20,Available,to order since January 2024,245,264.0,1960.0,8.6,64.7,5,525.0,211.0,51615
Hyundai,IONIQ 5 63 kWh RWD (MY24),Available,to order since July 2024,215,279.0,1955.0,8.5,60.0,5,577.0,186.0,39900
Citroen,e-C4 X 54 kWh,Discontinued,(February 2023 - January 2025),205,248.0,1659.0,9.3,50.8,5,510.0,175.0,35800
Hyundai,Kona Electric 48 kWh,Available,to order since July 2023,180,269.0,1690.0,8.8,48.4,5,493.0,194.0,34995
Volkswagen,ID. Buzz LWB Pro,Available,to order since October 2024,230,374.0,2628.0,7.9,86.0,7,1340.0,258.0,59395
Alpine,A290 Electric 220 hp,Available,to order since February 2025,190,274.0,1554.0,6.4,52.0,5,326.0,189.0,36000
Volkswagen,ID.4 GTX,Available,to order since November 2023,260,296.0,2256.0,5.4,77.0,5,543.0,207.0,53865
Renault,4 E-Tech 52kWh 150hp,Available,to order from July 2025,195,267.0,1537.0,8.2,52.0,5,420.0,144.0,28000
Audi,Q4 e-tron 35,Discontinued,(July 2021 - November 2022),175,297.0,1965.0,9.0,52.0,5,520.0,255.0,44690
Hyundai,Kona Electric 39 kWh,Discontinued,(June 2021 - June 2023),150,261.0,1610.0,9.9,39.2,5,332.0,216.0,32450
Tesla,Model 3 RWD (CATL LFP60),Discontinued,(January 2022 - October 2023),250,230.0,1835.0,6.1,57.5,5,649.0,172.0,42990
Audi,e-tron 50 quattro,Discontinued,(October 2021 - September 2022),175,370.0,2445.0,6.8,64.7,5,660.0,354.0,62035
Tesla,Model 3 Long Range RWD,Discontinued,(April 2023 - October 2023),305,246.0,1825.0,5.9,75.0,5,649.0,154.0,46990
Skoda,Enyaq 60,Discontinued,(October 2023 - June 2024),210,276.0,1992.0,8.7,58.0,5,585.0,186.0,38970
Mercedes-Benz,G 580,Available,to order since April 2024,220,527.0,3085.0,4.7,116.0,5,555.0,822.0,180860
Volkswagen,ID.3 Pro,Available,to order since June 2024,225,262.0,1815.0,7.6,59.0,5,385.0,159.0,35700
Tesla,Model S 100D,Discontinued,(January 2017 - February 2019),300,317.0,2290.0,4.3,95.0,5,895.0,299.0,89650
Tesla,Model Y RWD (CATL LFP),Discontinued,(November 2022 - October 2024),215,267.0,1984.0,6.9,57.5,5,971.0,209.0,44990
Audi,e-tron GT RS,Discontinued,(May 2021 - February 2024),250,340.0,2420.0,3.3,85.0,4,451.0,476.0,119000
Hyundai,IONIQ 5 Standard Range 2WD (MY21),Discontinued,(October 2021 - July 2024),185,292.0,1905.0,8.5,54.0,5,588.0,235.0,43445
Hyundai,IONIQ 9 Long Range AWD,Available,to order from September 2025,305,348.0,2728.0,6.7,106.0,7,390.0,213.0,65000
Volkswagen,ID.4 1st,Discontinued,(March 2021 - August 2021),255,302.0,2124.0,8.5,77.0,5,543.0,160.0,40800
Nissan,Leaf e+,Discontinued,(March 2022 - May 2023),210,281.0,1756.0,6.9,59.0,5,420.0,166.0,34945
Fiat,600e,Available,to order since December 2023,195,261.0,1595.0,9.0,50.8,5,360.0,169.0,32995
Tesla,Model 3 Long Range AWD,Discontinued,(November 2020 - February 2022),290,248.0,1919.0,4.4,72.0,5,649.0,172.0,49990
BMW,iX M60,Discontinued,(April 2022 - January 2025),300,351.0,2659.0,3.8,105.2,5,500.0,409.0,122775
Genesis,GV60 Premium,Available,to order since June 2022,240,308.0,1975.0,7.8,74.0,5,432.0,225.0,53905
Peugeot,e-2008 50 kWh,Available,to order since July 2024,165,281.0,1623.0,9.9,46.3,5,434.0,196.0,32300
Vauxhall,Frontera 44 kWh,Available,to order since February 2025,150,293.0,1589.0,12.1,44.0,5,460.0,160.0,23995
Citroen,e-Berlingo M 50 kWh,Available,to order since March 2024,145,345.0,1811.0,11.7,50.0,5,775.0,214.0,30990
XPENG,G6 RWD Standard Range,Available,to order since June 2025,230,287.0,2100.0,6.9,66.0,5,571.0,174.0,39990
Audi,e-tron GT quattro,Discontinued,(May 2021 - February 2024),260,327.0,2350.0,4.1,85.0,4,490.0,338.0,87800
Leapmotor,C10,Available,to order since March 2025,215,325.0,2055.0,7.5,69.9,5,435.0,170.0,36500
Vauxhall,Mokka Electric,Available,to order since November 2024,175,290.0,1615.0,9.0,50.8,5,310.0,190.0,33245
Polestar,2 Long Range Dual Motor (MY26),Available,to order since April 2025,280,282.0,2183.0,4.5,79.0,5,448.0,190.0,53160
Skoda,Elroq vRS,Available,to order from June 2025,280,282.0,2229.0,5.4,79.0,5,470.0,166.0,46560
MG,MG5 EV Long Range,Discontinued,(July 2020 - June 2022),210,273.0,1625.0,7.7,57.4,5,464.0,138.0,28995
Vauxhall,Corsa Electric 50 kWh,Available,to order since October 2023,180,257.0,1544.0,8.7,46.3,5,267.0,149.0,26895
Mini,Countryman SE ALL4,Available,to order since February 2024,225,287.0,2075.0,5.6,64.6,5,460.0,210.0,47180
Citroen,e-C3 Aircross,Available,to order since May 2025,150,293.0,1579.0,12.9,44.0,5,460.0,154.0,23095
DS,N°8 AWD Long Range,Available,to order since February 2025,330,295.0,2364.0,5.4,97.2,5,620.0,192.0,63290
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Available,to order since June 2024,190,267.0,1635.0,6.0,50.8,5,400.0,223.0,42295
Polestar,2 Long Range Single Motor (MY25),Discontinued,(September 2024 - April 2025),295,268.0,2084.0,6.2,79.0,5,448.0,166.0,48950
Polestar,2 Standard Range Single Motor (MY24),Discontinued,(January 2023 - September 2024),250,268.0,2019.0,6.4,67.0,5,446.0,180.0,44950
GWM,ORA 03 Pure+,Available,to order since January 2024,160,284.0,1615.0,8.3,45.4,5,228.0,200.0,31995
Polestar,3 Long Range Single motor,Available,to order since June 2024,330,324.0,2480.0,7.8,107.0,5,516.0,212.0,69900
Kia,EV6 Standard Range RWD,Available,to order since May 2025,215,279.0,1955.0,8.7,60.0,5,542.0,182.0,39235
Smart,#3 Premium,Available,to order since May 2024,220,282.0,1885.0,5.8,62.0,5,385.0,185.0,40660
BYD,ATTO 2,Available,to order from September 2025,150,301.0,1645.0,7.9,45.1,5,400.0,187.0,28000
Skoda,Enyaq Coupe 85,Available,to order since January 2025,290,266.0,2140.0,6.7,77.0,5,570.0,159.0,46210
Tesla,Model Y Performance,Discontinued,(October 2022 - February 2025),265,283.0,2072.0,3.8,75.0,5,971.0,226.0,59990
Volvo,C40 Recharge Twin Motor (MY24),Discontinued,(December 2022 - March 2024),250,316.0,2185.0,4.7,79.0,5,450.0,214.0,53605
Renault,Zoe R110 ZE40,Discontinued,(March 2018 - December 2019),155,265.0,1575.0,11.4,41.0,5,338.0,157.0,24320
Toyota,bZ4X AWD,Available,to order since August 2022,215,298.0,2070.0,6.9,64.0,5,452.0,222.0,47810
Peugeot,e-2008 SUV,Discontinued,(December 2021 - June 2023),165,281.0,1623.0,8.5,46.3,5,434.0,213.0,35150
BMW,iX2 xDrive30,Available,to order since October 2023,240,270.0,2095.0,5.6,64.7,5,525.0,239.0,57445
Vauxhall,Astra Electric,Available,to order since June 2023,195,261.0,1736.0,9.2,50.8,5,352.0,179.0,34955
Mini,Cooper Electric E,Available,to order since March 2024,155,236.0,1615.0,7.3,36.6,4,200.0,194.0,30000
Audi,Q4 Sportback e-tron 45,Available,to order since January 2024,270,285.0,2145.0,6.7,77.0,5,535.0,196.0,52810
Lotus,Emeya,Available,to order since March 2024,325,304.0,2555.0,4.2,98.9,5,543.0,296.0,96255
Renault,Scenic E-Tech 170hp Comfort Range,Available,to order since July 2024,210,286.0,1822.0,8.6,60.0,5,545.0,179.0,37495
Citroen,e-C4 54 kWh,Available,to order since December 2024,200,254.0,1646.0,9.1,50.8,5,380.0,158.0,31505
Hyundai,IONIQ Electric,Discontinued,(October 2016 - August 2019),115,243.0,1495.0,9.9,28.0,5,350.0,237.0,27250
Porsche,Macan 4S Electric,Available,to order since July 2024,290,328.0,2420.0,4.1,95.0,5,624.0,260.0,75400
Volvo,XC40 Recharge Pure Electric (MY23),Discontinued,(February 2022 - December 2022),205,327.0,2023.0,7.4,67.0,5,450.0,223.0,45750
Kia,Soul EV 64 kWh,Discontinued,(September 2022 - May 2024),225,284.0,1757.0,7.9,64.0,5,315.0,174.0,39075
Porsche,Macan Turbo Electric,Available,to order since January 2024,285,333.0,2480.0,3.3,95.0,5,564.0,333.0,95000
Volvo,EX40 Single Motor ER (MY25),Discontinued,(April 2024 - April 2025),245,322.0,2075.0,7.3,79.0,5,441.0,195.0,47705
KGM,Torres EVX,Available,to order since April 2024,230,313.0,1979.0,8.1,72.0,5,839.0,161.0,36995
Tesla,Model X 100D,Discontinued,(January 2017 - February 2019),270,352.0,2533.0,4.9,95.0,7,491.0,339.0,91650
Mercedes-Benz,EQA 250,Discontinued,(April 2021 - June 2022),220,302.0,2040.0,8.9,66.5,5,340.0,216.0,47510
BMW,i4 eDrive35,Discontinued,(March 2023 - May 2024),265,253.0,2065.0,6.0,67.0,5,470.0,189.0,49995
Porsche,Taycan Plus,Available,to order since February 2024,360,269.0,2245.0,4.8,97.0,5,491.0,253.0,90954
Volkswagen,ID.3 1st,Discontinued,(September 2020 - April 2021),215,270.0,1794.0,7.3,58.0,5,385.0,167.0,35880
Audi,e-tron GT S,Available,to order since August 2024,335,290.0,2385.0,3.4,97.0,4,482.0,322.0,107825
Tesla,Model S P100D,Discontinued,(September 2016 - February 2019),295,322.0,2316.0,2.7,95.0,5,895.0,433.0,127750
Audi,e-tron Sportback 55 quattro,Discontinued,(March 2021 - September 2022),235,368.0,2565.0,5.7,86.5,5,615.0,318.0,74635
Skoda,Elroq 50,Available,to order since October 2024,190,274.0,1949.0,9.0,52.0,5,470.0,166.0,31510
Tesla,Model X Dual Motor,Available,to order from December 2025,300,317.0,2415.0,3.9,95.0,7,608.0,350.0,105000
Hyundai,IONIQ 9 Long Range RWD,Available,to order from September 2025,310,342.0,2612.0,9.4,106.0,7,426.0,197.0,61000
Mercedes-Benz,EQB 300 4MATIC,Available,to order since July 2024,215,309.0,2165.0,8.0,66.5,7,495.0,257.0,55310
Volkswagen,ID. Buzz SWB GTX,Available,to order since October 2024,205,385.0,2629.0,6.5,79.0,6,1121.0,329.0,67435
Renault,Kangoo Crew Van ZE33,Discontinued,(July 2017 - November 2021),100,310.0,1630.0,22.4,31.0,5,1300.0,317.0,31680
Porsche,Taycan Turbo S,Discontinued,(January 2020 - January 2023),245,342.0,2370.0,2.8,83.7,5,450.0,581.0,142400
Mercedes-Benz,EQE 300,Discontinued,(June 2023 - May 2024),325,274.0,2405.0,7.3,89.0,5,430.0,212.0,68810
Smart,#1 Premium,Available,to order since November 2023,205,302.0,1875.0,6.7,62.0,5,338.0,193.0,39660
Skoda,Enyaq 60,Available,to order since January 2025,220,268.0,2002.0,8.1,59.0,5,585.0,177.0,39010
Volvo,ES90 Twin Motor (MY26),Available,to order since March 2025,330,309.0,2628.0,5.5,102.0,5,468.0,251.0,82750
Nissan,Leaf,Discontinued,(March 2011 - June 2013),80,275.0,1600.0,11.9,22.0,5,330.0,269.0,21490
BMW,i3 94 Ah,Discontinued,(July 2016 - August 2017),100,272.0,1320.0,7.3,27.2,4,260.0,286.0,28570
Lotus,Eletre R,Available,to order since November 2023,280,389.0,2725.0,2.9,109.0,5,657.0,433.0,121305
Smart,#3 Brabus,Available,to order since May 2024,205,302.0,1985.0,3.7,62.0,5,385.0,227.0,46460
BMW,i3 60 Ah,Discontinued,(September 2013 - February 2017),70,269.0,1270.0,7.2,18.8,4,260.0,398.0,27850
Renault,Zoe R90 ZE40,Discontinued,(February 2017 - March 2018),155,265.0,1555.0,13.5,41.0,5,338.0,153.0,23770
Peugeot,e-208,Discontinued,(February 2020 - December 2021),165,281.0,1530.0,8.1,46.3,5,265.0,165.0,27225
Hyundai,IONIQ 5 Long Range 2WD (MY21),Discontinued,(October 2021 - May 2022),230,304.0,1985.0,7.4,70.0,5,588.0,197.0,45400
Polestar,2 Standard Range Single Motor,Discontinued,(September 2021 - March 2022),215,284.0,2015.0,7.4,61.0,5,440.0,186.0,39900
Volvo,EX40 Single Motor (MY25),Discontinued,(April 2024 - April 2025),215,312.0,2040.0,7.3,67.0,5,441.0,214.0,45955
Polestar,2,Discontinued,(August 2020 - May 2021),240,313.0,2198.0,4.7,75.0,5,440.0,208.0,49900
Genesis,GV70 Electrified Sport,Available,to order since October 2022,215,344.0,2310.0,4.2,74.0,5,528.0,303.0,65105
Audi,Q8 e-tron 50 quattro,Discontinued,(December 2022 - November 2024),260,342.0,2585.0,6.0,89.0,5,631.0,272.0,70715
Mercedes-Benz,EQC 400 4MATIC,Discontinued,(September 2019 - November 2020),230,348.0,2495.0,5.1,80.0,5,500.0,286.0,65720
Tesla,Model X Plaid,Available,to order from December 2025,290,328.0,2539.0,2.7,95.0,7,608.0,414.0,120000
Ford,Mustang Mach-E Premium RWD (MY24),Available,to order since July 2024,300,303.0,2161.0,5.9,91.0,5,619.0,198.0,59390
Audi,Q6 e-tron Sportback performance,Available,to order since November 2024,315,301.0,2275.0,6.6,94.9,5,575.0,209.0,65975
Honda,e Advance,Discontinued,(September 2020 - November 2023),105,271.0,1595.0,8.3,28.5,4,171.0,356.0,37395
Fiat,500e Hatchback 24 kWh,Available,to order since April 2021,85,251.0,1255.0,9.0,21.3,4,185.0,294.0,24995
BMW,i7 eDrive50,Available,to order since June 2023,325,313.0,2595.0,5.5,101.7,5,500.0,308.0,100205
Hyundai,IONIQ 5 Long Range AWD (MY22),Discontinued,(June 2022 - July 2024),235,315.0,2120.0,5.1,74.0,5,551.0,215.0,50445
Volvo,EX40 Twin Motor (MY25),Discontinued,(April 2024 - April 2025),235,336.0,2170.0,4.8,79.0,5,441.0,246.0,57805
Mini,Cooper Electric SE,Available,to order since October 2024,180,273.0,1730.0,5.9,49.2,4,200.0,217.0,39000
BMW,i5 eDrive40 Touring (MY25),Available,to order since April 2025,290,280.0,2255.0,6.1,81.2,5,570.0,241.0,69955
Volkswagen,ID.3 Pro S,Discontinued,(August 2021 - March 2023),280,275.0,1935.0,7.9,77.0,4,385.0,170.0,47470
Citroen,e-Berlingo M 50 kWh,Discontinued,(November 2021 - January 2024),130,356.0,1739.0,11.7,46.3,5,571.0,249.0,32315
Mercedes-Benz,EQB 300 4MATIC,Discontinued,(February 2022 - November 2023),210,317.0,2175.0,8.0,66.5,7,495.0,263.0,55310
Audi,Q6 e-tron,Available,to order since August 2024,245,309.0,2200.0,7.0,75.8,5,590.0,245.0,59975
Audi,A6 Sportback e-tron quattro,Available,to order since September 2024,365,260.0,2360.0,4.7,94.9,5,529.0,206.0,75040
Mazda,6e 68.8 kWh,Available,to order from February 2026,240,275.0,2028.0,7.6,66.0,5,526.0,158.0,38000
BMW,iX M70 xDrive,Available,to order since January 2025,310,351.0,2655.0,3.8,108.9,5,500.0,368.0,114205
BMW,i5 eDrive40 Saloon (MY25),Available,to order since April 2025,295,275.0,2195.0,6.0,81.2,5,490.0,230.0,67705
Tesla,Model S 90D,Discontinued,(April 2016 - June 2017),280,305.0,2223.0,4.4,85.5,5,895.0,0.0,0
BMW,i5 eDrive40 Touring,Discontinued,(February 2024 - April 2025),285,285.0,2255.0,6.1,81.2,5,570.0,245.0,69945
Renault,5 E-Tech 40kWh 95hp,Available,to order from December 2025,155,258.0,1428.0,12.0,40.0,5,326.0,142.0,22000
Citroen,e-C4,Available,to order since December 2024,175,265.0,1646.0,9.9,46.3,5,380.0,158.0,27650
Audi,A6 Avant e-tron quattro,Available,to order since September 2024,345,275.0,2370.0,4.5,94.9,5,529.0,223.0,76840
Polestar,2 Standard Range Single Motor (MY26),Available,to order since April 2025,250,268.0,2020.0,6.4,67.0,5,448.0,181.0,45160
Kia,Soul EV,Discontinued,(October 2017 - April 2019),105,286.0,1580.0,11.2,30.0,5,281.0,257.0,26995
Tesla,Model 3 Standard Range Plus (CATL LFP55),Discontinued,(November 2020 - December 2021),215,244.0,1825.0,5.6,52.5,5,649.0,191.0,40990
Subaru,Solterra AWD,Available,to order since March 2023,200,320.0,2085.0,6.9,64.0,5,441.0,250.0,49995
Audi,e-tron S,Discontinued,(October 2021 - September 2022),195,444.0,2730.0,4.5,86.5,5,660.0,454.0,88435
Porsche,Taycan,Available,to order since February 2024,310,265.0,2165.0,4.8,82.3,5,491.0,279.0,86500
Vauxhall,Combo Life Electric XL 50 kWh,Available,to order since March 2024,145,345.0,1881.0,11.3,50.0,7,1050.0,228.0,33080
Renault,Zoe Q210,Discontinued,(March 2013 - January 2017),80,291.0,1503.0,13.5,23.3,5,338.0,181.0,14495
Audi,e-tron GT quattro,Available,to order from July 2025,335,290.0,2355.0,4.0,97.0,4,482.0,267.0,89505
Skoda,Enyaq Coupe vRS,Available,to order from June 2025,290,272.0,2239.0,5.4,79.0,5,570.0,185.0,53560
Tesla,Model S P90D,Discontinued,(July 2015 - April 2016),255,335.0,2262.0,3.3,85.5,5,895.0,0.0,0
Mini,Electric,Discontinued,(March 2020 - March 2021),110,263.0,1440.0,7.3,28.9,4,211.0,228.0,25100
Volkswagen,ID.3 Pro Performance,Discontinued,(November 2020 - August 2021),215,270.0,1805.0,7.3,58.0,5,385.0,138.0,29740
Peugeot,e-308,Available,to order since September 2023,185,275.0,1759.0,9.8,50.8,5,412.0,227.0,42025
Mercedes-Benz,EQA 300 4MATIC,Available,to order since July 2024,215,309.0,2110.0,7.7,66.5,5,340.0,247.0,53010
Skoda,Enyaq Coupe 85,Discontinued,(October 2023 - January 2025),285,270.0,2140.0,6.7,77.0,5,570.0,163.0,46440
Alfa,Romeo Junior Elettrica 54 kWh,Available,to order since June 2024,195,261.0,1620.0,9.0,50.8,5,400.0,174.0,33895
Volkswagen,e-Up!,Discontinued,(February 2020 - September 2021),125,258.0,1235.0,11.9,32.3,4,250.0,176.0,22055
Audi,Q4 e-tron 45 quattro,Available,to order since January 2024,245,314.0,2235.0,6.6,77.0,5,520.0,215.0,52740
Mazda,6e Long Range 80 kWh,Available,to order from February 2026,275,273.0,2028.0,7.8,75.0,5,526.0,153.0,42000
Tesla,Model S 75,Discontinued,(May 2016 - May 2017),235,309.0,2102.0,4.6,72.5,5,895.0,238.0,55880
