Brand,Model,Availability,Availability_Status,Range(in_mile),Efficiency(Wh/mile),Weight_in_Kg,t_0_60_mph,Battery_Capacity(kWh),Seating_Capacity,Boot Space(in_Litres),Price_Per_Range(in_£),Model Price(in_£)
Porsche,Taycan GTS,Discontinued,(February 2022 - February 2024),280,299.0,2370.0,3.7,83.7,5,491.0,394.0,110200
Polestar,2 Long Range Performance (MY25),Discontinued,(September 2024 - April 2025),280,282.0,2180.0,4.2,79.0,5,448.0,207.0,57950
Vauxhall,Vivaro-e Life M 75 kWh,Available,to order since June 2024,160,425.0,2211.0,14.2,68.0,9,603.0,314.0,50195
Volvo,ES90 Twin Motor Performance (MY26),Available,to order since March 2025,330,309.0,2628.0,4.0,102.0,5,468.0,265.0,87350
Peugeot,iOn,Discontinued,(January 2011 - April 2016),55,264.0,1140.0,15.9,14.5,4,166.0,386.0,21216
Mitsubishi,i-MiEV,Discontinued,(January 2011 - November 2015),50,290.0,1185.0,15.9,14.5,4,166.0,481.0,24054
Tesla,Model S 85,Discontinued,(August 2013 - February 2016),250,323.0,2175.0,5.6,80.8,5,895.0,0.0,0
Audi,Q4 e-tron 50 quattro,Discontinued,(July 2021 - January 2024),240,319.0,2210.0,6.2,76.6,5,520.0,238.0,57010
Genesis,G80 Electrified Luxury,Available,to order since June 2022,275,300.0,2325.0,4.9,82.5,5,354.0,254.0,69805
Maxus,MIFA 9,Available,to order since February 2023,225,373.0,2385.0,9.2,84.0,7,521.0,290.0,65290
Porsche,Taycan,Discontinued,(January 2023 - February 2024),260,273.0,2125.0,5.4,71.0,5,491.0,305.0,79200
Citroen,e-Berlingo XL 50 kWh,Available,to order since March 2024,145,345.0,1881.0,11.7,50.0,7,1050.0,220.0,31890
Toyota,PROACE Verso Medium 75 kWh,Available,to order since August 2024,160,425.0,2211.0,13.3,68.0,9,603.0,286.0,45769
Jeep,Compass Electric 74 kWh,Available,to order from September 2025,230,322.0,2198.0,8.5,74.0,5,550.0,170.0,39200
Tesla,Model X 75D,Discontinued,(October 2016 - September 2018),205,354.0,2427.0,5.2,72.5,7,491.0,387.0,79400
Peugeot,iOn,Discontinued,(April 2016 - February 2019),55,264.0,1140.0,15.9,14.5,4,166.0,309.0,16995
BMW,i3,Discontinued,(October 2017 - October 2018),100,272.0,1320.0,7.3,27.2,4,260.0,296.0,29570
DS,3 Crossback E-Tense,Discontinued,(December 2021 - December 2022),165,281.0,1598.0,8.7,46.3,5,350.0,211.0,34770
Ford,Mustang Mach-E ER AWD (MY23),Discontinued,(November 2022 - November 2023),275,331.0,2257.0,5.8,91.0,5,619.0,238.0,65405
Volvo,EX90 Twin Motor Performance (MY24-26),Available,to order since December 2022,280,382.0,2762.0,4.9,107.0,7,347.0,357.0,99960
BMW,i5 M60 xDrive Saloon,Discontinued,(May 2023 - April 2025),260,312.0,2380.0,3.8,81.2,5,490.0,376.0,97745
Volvo,EX40 Single Motor ER (MY26),Available,to order since April 2025,245,322.0,2075.0,7.3,79.0,5,441.0,196.0,48010
BYD,DOLPHIN 44.9 kWh Boost,Available,to order since September 2024,160,281.0,1700.0,8.0,44.9,5,345.0,170.0,27195
Audi,SQ6 e-tron,Available,to order since May 2024,295,322.0,2425.0,4.3,94.9,5,578.0,315.0,92950
Mini,Aceman E,Available,to order since June 2024,140,275.0,1720.0,7.9,38.5,5,300.0,227.0,31800
Polestar,2 Long Range Performance (MY26),Available,to order since April 2025,280,282.0,2180.0,4.2,79.0,5,448.0,208.0,58160
Audi,e-tron 55 quattro,Discontinued,(March 2019 - November 2019),225,384.0,2565.0,5.7,86.5,5,660.0,302.0,68060
Tesla,Model S Long Range,Discontinued,(April 2019 - October 2020),325,292.0,2255.0,3.8,95.0,5,894.0,231.0,74980
Porsche,Taycan Plus,Discontinued,(April 2021 - January 2023),295,284.0,2205.0,5.4,83.7,5,491.0,270.0,79549
Fisker,Ocean Extreme,Discontinued,(March 2023 - June 2024),305,349.0,2526.0,3.9,106.5,5,476.0,190.0,57900
Volvo,EX90 Twin Motor (MY24-26),Available,to order since December 2022,290,369.0,2754.0,5.9,107.0,7,347.0,309.0,89560
Vauxhall,Astra Sports Tourer Electric,Available,to order since November 2023,190,267.0,1760.0,9.3,50.8,5,516.0,190.0,36155
Audi,Q6 e-tron Sportback quattro,Available,to order since November 2024,310,306.0,2400.0,5.9,94.9,5,575.0,231.0,71475
Citroen,e-C4 X 54 kWh,Available,to order since January 2025,205,248.0,1652.0,9.1,50.8,5,510.0,154.0,31505
Volvo,EX40 Twin Motor (MY26),Available,to order since April 2025,235,336.0,2170.0,4.8,79.0,5,441.0,245.0,57660
Volkswagen,ID.3 Pure Performance,Discontinued,(May 2021 - August 2021),170,265.0,1772.0,8.9,45.0,5,385.0,160.0,27120
Volkswagen,ID.4 Pro,Discontinued,(February 2022 - November 2023),255,302.0,2123.0,10.4,77.0,5,543.0,175.0,44605
DS,3 E-Tense,Available,to order since January 2023,185,275.0,1625.0,9.0,50.8,5,350.0,201.0,37200
BMW,i7 M70 xDrive,Available,to order since May 2023,305,333.0,2770.0,3.7,101.7,5,500.0,535.0,163315
Volkswagen,ID.4 Pro Performance 4MOTION,Available,to order since July 2024,270,285.0,2233.0,6.6,77.0,5,543.0,171.0,46080
Lotus,Eletre S,Available,to order since November 2023,300,363.0,2595.0,4.5,109.0,5,657.0,353.0,105805
Toyota,Proace City Verso Electric Medium 50 kWh,Available,to order since August 2024,145,345.0,1811.0,11.7,50.0,5,775.0,220.0,31849
MG,Cyberster Trophy,Available,to order since April 2024,265,281.0,1960.0,5.0,74.4,2,249.0,208.0,54995
Volkswagen,ID.7 GTX,Available,to order since August 2024,310,277.0,2325.0,5.4,86.0,5,532.0,200.0,61980
Kia,EV4 Hatchback Standard Range,Available,to order from August 2025,210,262.0,1800.0,7.4,55.0,5,435.0,186.0,39000
Hyundai,Kona Electric 64 kWh,Discontinued,(October 2018 - October 2019),240,267.0,1760.0,7.6,64.0,5,332.0,137.0,32845
Volvo,EX30 Cross Country (MY26),Available,to order since March 2025,205,317.0,1960.0,3.7,65.0,5,325.0,229.0,46995
Ford,e-Tourneo Custom L1 160 kW,Available,to order since November 2023,145,441.0,2557.0,9.0,64.0,8,672.0,420.0,60886
SEAT,Mii Electric,Discontinued,(February 2020 - June 2021),130,248.0,1235.0,12.3,32.3,4,251.0,156.0,20300
Fiat,500e Cabrio,Available,to order since November 2020,140,266.0,1405.0,9.0,37.3,4,185.0,221.0,30995
Nissan,Ariya e-4ORCE 87kWh - 225 kW,Available,to order since August 2022,250,348.0,2259.0,5.7,87.0,5,415.0,203.0,50845
Hyundai,IONIQ 5 Long Range AWD (MY21),Discontinued,(July 2021 - February 2022),225,311.0,2095.0,5.2,70.0,5,555.0,201.0,45145
Volkswagen,ID.3 Pro S,Discontinued,(May 2023 - May 2024),280,275.0,1933.0,7.9,77.0,4,385.0,171.0,47990
Mercedes-Benz,EQE SUV 350+,Available,to order since July 2024,295,325.0,2490.0,6.9,96.0,5,520.0,256.0,75495
Mercedes-Benz,EQV 300 Long,Available,to order since July 2024,200,450.0,2625.0,12.1,90.0,7,1030.0,461.0,92255
Mercedes-Benz,EQE AMG 53 4MATIC+,Available,to order since July 2024,280,324.0,2540.0,3.5,90.6,5,430.0,378.0,105860
Alpine,A290 Electric 180 hp,Available,to order since February 2025,190,274.0,1554.0,7.4,52.0,5,326.0,176.0,33500
Audi,Q4 e-tron 40,Available,to order since April 2025,200,295.0,2035.0,8.1,59.0,5,520.0,233.0,46610
Peugeot,e-308 SW,Available,to order since January 2024,185,275.0,1791.0,10.0,50.8,5,608.0,223.0,41250
Mercedes-Benz,EQS SUV 450 4MATIC,Available,to order since January 2024,325,363.0,2840.0,6.1,118.0,7,645.0,398.0,129470
Nissan,e-NV200 Combi,Discontinued,(April 2014 - August 2018),65,338.0,1614.0,14.0,22.0,7,2000.0,375.0,24407
DS,3 Crossback E-Tense,Discontinued,(January 2020 - December 2021),160,289.0,1598.0,8.7,46.3,5,350.0,197.0,31500
Volkswagen,ID.3 Pro S,Discontinued,(November 2020 - August 2021),280,275.0,1934.0,7.9,77.0,4,385.0,139.0,38800
Tesla,Model X Performance,Discontinued,(July 2019 - October 2020),265,358.0,2552.0,2.9,95.0,7,491.0,370.0,97980
Mercedes-Benz,EQV 300,Discontinued,(November 2020 - February 2024),190,474.0,2635.0,12.1,90.0,7,1030.0,463.0,87995
Kia,e-Niro 64 kWh,Discontinued,(April 2019 - July 2020),230,278.0,1812.0,7.8,64.0,5,451.0,143.0,32995
Tesla,Model S Long Range Plus,Discontinued,(November 2020 - March 2021),345,284.0,2255.0,3.8,98.0,5,894.0,232.0,79980
Vauxhall,Combo-e Life 50 kWh,Discontinued,(November 2021 - January 2024),130,356.0,1739.0,11.7,46.3,7,571.0,262.0,34085
Maserati,Grecale Folgore,Available,to order since March 2024,245,388.0,2555.0,4.1,95.0,5,535.0,449.0,109905
Toyota,Proace City Verso Electric Long 50 kWh,Available,to order since August 2024,145,345.0,1881.0,11.7,50.0,7,1050.0,228.0,33129
Volvo,ES90 Single Motor (MY26),Available,to order since March 2025,300,293.0,2441.0,6.9,88.0,5,468.0,231.0,69150
Renault,Zoe R240,Discontinued,(June 2015 - January 2017),90,259.0,1502.0,13.5,23.3,5,338.0,211.0,18945
Skoda,Enyaq vRS,Available,to order from June 2025,285,277.0,2236.0,5.4,79.0,5,585.0,181.0,51660
Volvo,XC40 P8 AWD Recharge (MY21),Discontinued,(February 2020 - February 2021),205,366.0,2188.0,4.9,75.0,5,450.0,244.0,49950
Skoda,Enyaq iV 80x,Discontinued,(October 2021 - October 2023),265,291.0,2193.0,6.9,77.0,5,585.0,192.0,50805
Mercedes-Benz,EQB 350 4MATIC,Discontinued,(February 2022 - November 2023),210,317.0,2175.0,6.2,66.5,7,495.0,271.0,56810
Mercedes-Benz,EQS AMG 53 4MATIC+,Available,to order since April 2024,365,323.0,2700.0,3.4,118.0,5,620.0,443.0,161860
Mercedes-Benz,EQE 500 4MATIC,Available,to order since July 2024,315,288.0,2490.0,4.7,90.6,5,430.0,256.0,80610
Abarth,600e Scorpionissima,Available,to order since December 2024,170,299.0,1700.0,5.9,50.8,5,360.0,235.0,39875
Hyundai,IONIQ 9 Performance AWD,Available,to order from September 2025,295,359.0,2744.0,5.2,106.0,7,390.0,237.0,70000
Tesla,Model X P100D,Discontinued,(January 2017 - February 2019),260,365.0,2572.0,3.1,95.0,7,491.0,516.0,134150
Genesis,GV60 Sport,Available,to order since June 2022,235,315.0,2170.0,5.5,74.0,5,432.0,248.0,58365
Porsche,Taycan Turbo GT Weissach,Available,to order since March 2024,295,329.0,2295.0,2.2,97.0,2,451.0,632.0,186300
Skoda,Enyaq 50,Discontinued,(July 2024 - January 2025),190,274.0,1976.0,9.1,52.0,5,585.0,195.0,36970
Volkswagen,ID.5 Pro,Discontinued,(January 2022 - July 2022),265,291.0,2117.0,10.4,77.0,5,549.0,191.0,50550
Citroen,e-C4 X,Discontinued,(February 2023 - January 2025),175,265.0,1659.0,9.7,46.3,5,510.0,183.0,31960
Porsche,Taycan GTS,Available,to order since November 2024,330,294.0,2360.0,3.3,97.0,5,450.0,356.0,117500
Kia,Soul EV,Discontinued,(September 2014 - October 2017),95,284.0,1565.0,11.2,27.0,5,281.0,268.0,25495
Smart,#3 Pro+,Available,to order since May 2024,220,282.0,1855.0,5.8,62.0,5,385.0,173.0,37960
Vauxhall,Combo Life Electric 50 kWh,Available,to order since March 2024,145,345.0,1811.0,11.3,50.0,5,775.0,222.0,32180
Ford,Mustang Mach-E Premium AWD (MY24),Available,to order since July 2024,275,331.0,2245.0,4.6,91.0,5,619.0,238.0,65415
Audi,Q4 Sportback e-tron 40,Available,to order since April 2025,210,281.0,2035.0,8.1,59.0,5,520.0,229.0,48110
Tesla,Model X Long Range,Discontinued,(June 2019 - October 2020),275,345.0,2505.0,4.6,95.0,7,491.0,302.0,82980
Volvo,XC40 Recharge Single Motor (MY24),Discontinued,(December 2022 - March 2024),210,314.0,2040.0,7.3,66.0,5,441.0,221.0,46505
Ford,Mustang Mach-E Premium RWD (MY23.75),Discontinued,(December 2023 - July 2024),300,303.0,2160.0,7.0,91.0,5,619.0,199.0,59830
Vauxhall,Mokka-e 54 kWh,Discontinued,(January 2024 - October 2024),180,282.0,1598.0,9.0,50.8,5,310.0,207.0,37260
Porsche,Taycan 4S Plus,Available,to order since February 2024,350,277.0,2325.0,3.7,97.0,5,491.0,286.0,100196
Audi,e-tron GT RS performance,Available,to order since August 2024,325,298.0,2395.0,2.5,97.0,4,427.0,440.0,142925
Polestar,2 Standard Range Single Motor (MY25),Discontinued,(September 2024 - April 2025),250,268.0,2020.0,6.4,67.0,5,448.0,180.0,44950
Mercedes-Benz,EQA 350 4MATIC,Discontinued,(December 2021 - November 2023),215,309.0,2105.0,6.0,66.5,5,340.0,254.0,54510
Volvo,EX90 Single Motor (MY24-26),Available,to order since April 2025,285,351.0,2582.0,8.4,100.0,7,347.0,290.0,82660
Porsche,Taycan 4S,Available,to order since February 2024,305,270.0,2245.0,3.7,82.3,5,491.0,314.0,95900
Porsche,Taycan Turbo GT,Available,to order since March 2024,295,329.0,2365.0,2.3,97.0,5,410.0,632.0,186300
Polestar,2 Long Range Dual Motor (MY25),Discontinued,(September 2024 - April 2025),280,282.0,2183.0,4.5,79.0,5,448.0,189.0,52950
Volkswagen,e-Golf,Discontinued,(June 2014 - June 2016),75,273.0,1585.0,10.4,20.5,5,380.0,351.0,26345
Volvo,XC40 Recharge Pure Electric (MY22),Discontinued,(February 2021 - February 2022),190,353.0,2030.0,7.4,67.0,5,450.0,254.0,48300
Abarth,500e Hatchback,Available,to order since May 2023,140,270.0,1410.0,7.0,37.8,4,185.0,244.0,34195
Porsche,Taycan Turbo S,Discontinued,(January 2023 - February 2024),270,310.0,2370.0,2.8,83.7,5,450.0,549.0,148300
Skoda,Enyaq vRS,Discontinued,(October 2023 - January 2025),270,285.0,2251.0,5.5,77.0,5,585.0,197.0,53120
Mercedes-Benz,EQS SUV Maybach 680,Available,to order since May 2024,305,387.0,3075.0,4.4,118.0,4,440.0,659.0,200860
Audi,Q6 e-tron Sportback,Available,to order since November 2024,255,297.0,2200.0,7.0,75.8,5,575.0,245.0,62475
Renault,4 E-Tech 40kWh 120hp,Available,to order from July 2025,150,267.0,1510.0,9.2,40.0,5,420.0,160.0,24000
Citroen,C-Zero,Discontinued,(January 2011 - April 2016),55,264.0,1140.0,15.9,14.5,4,166.0,386.0,21216
Mercedes-Benz,EQS 450+,Discontinued,(November 2021 - June 2023),395,273.0,2480.0,6.2,107.8,5,610.0,267.0,105610
Mercedes-Benz,EQA 300 4MATIC,Discontinued,(December 2021 - November 2023),215,309.0,2105.0,7.7,66.5,5,340.0,247.0,53010
Mercedes-Benz,EQA 250+,Discontinued,(June 2022 - November 2023),260,271.0,2045.0,8.6,70.5,5,340.0,191.0,49750
ORA,Funky Cat First Edition,Discontinued,(November 2022 - December 2023),160,284.0,1615.0,8.3,45.4,5,228.0,200.0,31995
Maserati,GranTurismo Folgore,Available,to order since February 2024,260,319.0,2335.0,2.7,83.0,4,270.0,692.0,179950
Volkswagen,ID.5 GTX,Available,to order since November 2023,265,291.0,2242.0,5.5,77.0,5,549.0,209.0,55365
GWM,ORA 03 Pro+,Available,to order since January 2024,210,282.0,1615.0,8.2,59.3,5,228.0,167.0,34995
Audi,e-tron GT RS,Available,to order since August 2024,325,298.0,2395.0,2.8,97.0,4,427.0,389.0,126425
Peugeot,e-Traveller Standard 75 kWh,Available,to order since June 2024,160,425.0,2211.0,14.2,68.0,9,603.0,306.0,48995
Volvo,EX40 Single Motor (MY26),Available,to order since April 2025,215,312.0,2040.0,7.3,67.0,5,441.0,215.0,46260
Renault,Zoe Q90 ZE40,Discontinued,(March 2018 - February 2019),155,265.0,1548.0,13.5,41.0,5,338.0,166.0,25770
Porsche,Taycan 4S Plus,Discontinued,(April 2020 - January 2023),285,294.0,2295.0,4.0,83.7,5,491.0,317.0,90406
CUPRA,Born 58 kWh e-Boost,Discontinued,(April 2022 - July 2024),215,270.0,1824.0,6.6,58.0,5,385.0,163.0,35085
Volvo,XC40 Recharge Twin Pure Electric (MY23),Discontinued,(February 2022 - December 2022),215,349.0,2188.0,4.9,75.0,5,450.0,265.0,57000
Mercedes-Benz,EQE 350,Discontinued,(June 2023 - May 2024),320,278.0,2405.0,6.4,89.0,5,430.0,242.0,77345
Ford,Mustang Mach-E Premium AWD (MY23.75),Discontinued,(December 2023 - July 2024),275,331.0,2257.0,5.8,91.0,5,619.0,238.0,65405
Mercedes-Benz,EQE SUV 500 4MATIC,Available,to order since July 2024,285,337.0,2610.0,4.9,96.0,5,520.0,318.0,90505
Peugeot,e-5008 73 kWh Dual Motor,Available,to order from July 2025,225,324.0,2300.0,7.0,73.0,7,348.0,222.0,50000
Audi,S6 Avant e-tron,Available,to order since September 2024,330,288.0,2410.0,3.9,94.9,5,529.0,301.0,99340
Ford,Mustang Mach-E Select SR RWD (MY24),Available,to order since July 2024,235,309.0,2166.0,6.2,72.6,5,619.0,216.0,50840
Ford,Mustang Mach-E ER AWD (MY21),Discontinued,(April 2021 - April 2022),265,332.0,2257.0,5.8,88.0,5,619.0,220.0,58230
Audi,Q8 e-tron Sportback 50 quattro,Discontinued,(December 2022 - November 2024),275,324.0,2585.0,6.0,89.0,5,590.0,266.0,73215
Peugeot,e-208 51 kWh,Discontinued,(November 2022 - April 2023),190,253.0,1530.0,8.2,48.1,5,265.0,184.0,34955
Mercedes-Benz,EQS SUV 580 4MATIC,Available,to order since January 2024,325,363.0,2845.0,4.7,118.0,7,645.0,429.0,139470
Porsche,Taycan Turbo S,Available,to order since February 2024,325,298.0,2370.0,2.4,97.0,5,450.0,497.0,161400
Volvo,C40 Recharge Single Motor (MY24),Discontinued,(December 2022 - March 2024),220,300.0,2065.0,7.3,66.0,5,450.0,220.0,48355
Tesla,Model S P85D,Discontinued,(November 2014 - February 2016),240,336.0,2262.0,3.3,80.8,5,895.0,0.0,0
Mercedes-Benz,EQE 300,Discontinued,(July 2022 - September 2023),320,278.0,2385.0,7.3,89.0,5,430.0,232.0,74345
Toyota,PROACE Verso Long 75 kWh,Available,to order since August 2024,160,425.0,2240.0,13.3,68.0,9,989.0,290.0,46477
Porsche,Taycan GTS Sport Turismo,Available,to order since November 2024,315,308.0,2385.0,3.3,97.0,5,489.0,376.0,118300
Volvo,EC40 Single Motor ER (MY26),Available,to order since April 2025,260,304.0,2095.0,7.3,79.0,5,435.0,208.0,54160
Tesla,Model X Ludicrous Performance,Discontinued,(March 2019 - May 2019),260,365.0,2572.0,3.0,95.0,7,491.0,390.0,101350
Kia,e-Niro 39 kWh,Discontinued,(January 2021 - April 2022),145,270.0,1667.0,9.8,39.2,5,451.0,227.0,32895
Volkswagen,ID.4 Pure Performance,Discontinued,(June 2021 - November 2023),175,297.0,1965.0,9.0,52.0,5,543.0,230.0,40275
Volkswagen,ID.5 Pro Performance,Discontinued,(January 2022 - July 2022),265,291.0,2117.0,8.4,77.0,5,549.0,196.0,51940
Genesis,GV60 Sport Plus,Available,to order since June 2022,225,329.0,2220.0,4.0,74.0,5,432.0,300.0,67505
Ford,Mustang Mach-E ER AWD (MY22),Discontinued,(April 2022 - November 2022),275,331.0,2257.0,5.8,91.0,5,619.0,237.0,65080
Porsche,Taycan Turbo,Available,to order since February 2024,330,294.0,2365.0,2.7,97.0,5,450.0,406.0,134100
Volvo,EX40 Twin Motor Performance (MY25),Discontinued,(July 2024 - April 2025),235,336.0,2170.0,4.6,79.0,5,441.0,253.0,59555
Audi,A6 Sportback e-tron,Available,to order since September 2024,305,249.0,2175.0,6.0,75.8,5,529.0,205.0,62540
BMW,i5 M60 xDrive Touring (MY25),Available,to order since April 2025,260,312.0,2425.0,3.9,81.2,5,570.0,385.0,100005
Tesla,Model 3 Performance,Discontinued,(June 2019 - October 2020),275,267.0,1931.0,3.5,73.5,5,542.0,205.0,56490
Tesla,Model S Standard Range,Discontinued,(June 2019 - July 2019),260,279.0,2183.0,4.2,72.5,5,894.0,279.0,72550
Tesla,Model S Performance,Discontinued,(November 2020 - March 2021),330,297.0,2307.0,2.6,98.0,5,894.0,288.0,94980
Hyundai,IONIQ 5 Project 45 (MY21),Discontinued,(July 2021 - October 2021),225,311.0,2095.0,5.2,70.0,5,555.0,213.0,48000
Volvo,XC40 Recharge Twin Pure Electric (MY22),Discontinued,(February 2021 - February 2022),205,366.0,2188.0,4.9,75.0,5,450.0,244.0,49950
Audi,SQ8 e-tron,Discontinued,(May 2023 - November 2024),285,372.0,2725.0,4.5,106.0,5,631.0,347.0,98815
Smart,#1 Pro,Available,to order since January 2024,155,303.0,1855.0,6.7,47.0,5,338.0,213.0,32960
Lotus,Emeya R,Available,to order since March 2024,290,341.0,2650.0,2.8,98.9,5,543.0,453.0,131255
Peugeot,e-Rifter Standard 50 kWh,Available,to order since July 2024,145,345.0,1830.0,11.7,50.0,5,775.0,222.0,32230
Volkswagen,ID.5 Pure,Available,to order since June 2024,195,267.0,1966.0,8.9,52.0,5,549.0,211.0,41080
Volvo,EC40 Twin Motor (MY26),Available,to order since April 2025,250,316.0,2185.0,4.8,79.0,5,435.0,231.0,57660
Smart,EQ forfour,Discontinued,(April 2018 - September 2019),55,304.0,1200.0,12.7,16.7,4,185.0,331.0,18190
Kia,Soul EV 64 kWh,Discontinued,(September 2021 - September 2022),225,284.0,1757.0,7.9,64.0,5,315.0,156.0,34995
Tesla,Model X Long Range Plus,Discontinued,(November 2020 - March 2021),300,327.0,2505.0,4.6,98.0,7,491.0,293.0,87980
Mercedes-Benz,eVito Tourer L2 90 kWh,Discontinued,(December 2020 - December 2023),190,474.0,2530.0,12.0,90.0,9,990.0,402.0,76368
Audi,S6 Sportback e-tron,Available,to order since September 2024,345,275.0,2400.0,3.9,94.9,5,529.0,283.0,97540
Mitsubishi,i-MiEV,Discontinued,(November 2015 - July 2018),55,264.0,1160.0,15.9,14.5,4,166.0,437.0,24054
Audi,e-tron Sportback 55 quattro,Discontinued,(April 2020 - March 2021),235,368.0,2555.0,5.7,86.5,5,615.0,340.0,79900
Audi,e-tron 55 quattro,Discontinued,(December 2019 - March 2021),225,384.0,2595.0,5.7,86.5,5,660.0,318.0,71500
Tesla,Model Y RWD (BYD LFP),Discontinued,(November 2022 - October 2024),215,267.0,1992.0,6.9,57.5,5,971.0,209.0,44990
Hyundai,Kona Electric 39 kWh,Discontinued,(June 2020 - April 2021),150,261.0,1610.0,9.9,39.2,5,361.0,204.0,30650
Mazda,MX-30,Discontinued,(March 2021 - July 2022),105,286.0,1720.0,9.7,30.0,5,366.0,278.0,29150
Ford,Mustang Mach-E SR RWD (MY21),Discontinued,(April 2021 - April 2022),225,302.0,2044.0,6.9,68.0,5,619.0,189.0,42530
SsangYong,Korando e-Motion,Discontinued,(February 2022 - May 2022),180,311.0,1840.0,8.5,56.0,5,551.0,178.0,31995
Mercedes-Benz,EQE SUV AMG 53 4MATIC+,Available,to order since May 2023,260,348.0,2690.0,3.5,90.6,5,520.0,442.0,114995
Volkswagen,ID.4 GTX,Discontinued,(July 2022 - November 2023),245,314.0,2239.0,6.3,77.0,5,543.0,216.0,52865
Volvo,EC40 Twin Motor (MY25),Discontinued,(April 2024 - April 2025),250,316.0,2185.0,4.8,79.0,5,435.0,231.0,57805
Citroen,e-SpaceTourer M 75 kWh,Available,to order since May 2024,160,425.0,2211.0,14.2,68.0,9,603.0,272.0,43535
Audi,SQ6 e-tron Sportback,Available,to order since November 2024,305,311.0,2425.0,4.3,94.9,5,575.0,313.0,95450
Volvo,EX40 Twin Motor Performance (MY26),Available,to order since April 2025,235,336.0,2170.0,4.6,79.0,5,441.0,254.0,59610
Tesla,Model X 90D,Discontinued,(October 2016 - June 2017),245,349.0,2464.0,5.0,85.5,7,491.0,0.0,0
